,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
54,H100,CUDA Explicit Memory,274,1,1,1024,2,double,305.285,0.919061,0.00735249,120.463
55,H100,CUDA Explicit Memory,294,1,1,1024,2,double,305.18,0.986488,0.00789191,129.301
56,H100,CUDA Explicit Memory,315,1,1,1024,2,double,305.591,1.05553,0.00844422,138.35
57,H100,CUDA Explicit Memory,337,1,1,1024,2,double,304.617,1.13286,0.00906288,148.486
58,H100,CUDA Explicit Memory,362,1,1,1024,2,double,305.749,1.2124,0.00969916,158.911
59,H100,CUDA Explicit Memory,388,1,1,1024,2,double,307.316,1.29284,0.0103428,169.456
60,H100,CUDA Explicit Memory,415,1,1,1024,2,double,307.602,1.38153,0.0110522,181.079
61,H100,CUDA Explicit Memory,445,1,1,1024,2,double,307.828,1.48031,0.0118424,194.027
62,H100,CUDA Explicit Memory,477,1,1,1024,2,double,306.756,1.5923,0.0127384,208.706
63,H100,CUDA Explicit Memory,512,1,1,1024,2,double,307.103,1.7072,0.0136576,223.767
64,H100,CUDA Explicit Memory,548,1,1,1024,2,double,308.016,1.82183,0.0145746,238.79
65,H100,CUDA Explicit Memory,588,1,1,1024,2,double,307.682,1.95693,0.0156554,256.499
66,H100,CUDA Explicit Memory,630,1,1,1024,2,double,307.889,2.0953,0.0167624,274.636
67,H100,CUDA Explicit Memory,675,1,1,1024,2,double,308.035,2.2439,0.0179512,294.113
68,H100,CUDA Explicit Memory,724,1,1,1024,2,double,307.961,2.40737,0.019259,315.539
69,H100,CUDA Explicit Memory,776,1,1,1024,2,double,308.292,2.5775,0.02062,337.839
70,H100,CUDA Explicit Memory,831,1,1,1024,2,double,308.193,2.76107,0.0220886,361.899
71,H100,CUDA Explicit Memory,891,1,1,1024,2,double,308.153,2.96082,0.0236865,388.08
72,H100,CUDA Explicit Memory,955,1,1,1024,2,double,308.166,3.17335,0.0253868,415.938
73,H100,CUDA Explicit Memory,1024,1,1,1024,2,double,308.155,3.40275,0.027222,446.005
74,H100,CUDA Explicit Memory,1097,1,1,1024,2,double,308.326,3.64331,0.0291465,477.536
75,H100,CUDA Explicit Memory,1176,1,1,1024,2,double,308.16,3.90779,0.0312623,512.202
76,H100,CUDA Explicit Memory,1260,1,1,1024,2,double,308.187,4.18656,0.0334924,548.74
77,H100,CUDA Explicit Memory,1351,1,1,1024,2,double,308.176,4.48907,0.0359126,588.392
78,H100,CUDA Explicit Memory,1448,1,1,1024,2,double,308.176,4.81138,0.0384911,630.637
79,H100,CUDA Explicit Memory,1552,1,1,1024,2,double,308.37,5.1537,0.0412296,675.506
