,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
0,A100-SXM4-80GB,CUDA Explicit Memory,2,1,1,1024,2,double,289.784,0.00706733,5.65386e-05,0.926329
1,A100-SXM4-80GB,CUDA Explicit Memory,3,1,1,1024,2,double,289.776,0.0106013,8.48103e-05,1.38953
2,A100-SXM4-80GB,CUDA Explicit Memory,4,1,1,1024,2,double,289.763,0.0141357,0.000113086,1.85279
3,A100-SXM4-80GB,CUDA Explicit Memory,5,1,1,1024,2,double,289.847,0.0176645,0.000141316,2.31532
4,A100-SXM4-80GB,CUDA Explicit Memory,6,1,1,1024,2,double,289.777,0.0212025,0.00016962,2.77905
5,A100-SXM4-80GB,CUDA Explicit Memory,7,1,1,1024,2,double,289.786,0.0247355,0.000197884,3.24213
6,A100-SXM4-80GB,CUDA Explicit Memory,8,1,1,1024,2,double,289.761,0.0282716,0.000226173,3.70561
7,A100-SXM4-80GB,CUDA Explicit Memory,9,1,1,1024,2,double,289.762,0.0318054,0.000254443,4.1688
8,A100-SXM4-80GB,CUDA Explicit Memory,10,1,1,1024,2,double,289.815,0.0353329,0.000282663,4.63116
9,A100-SXM4-80GB,CUDA Explicit Memory,11,1,1,1024,2,double,289.934,0.0388502,0.000310802,5.09217
10,A100-SXM4-80GB,CUDA Explicit Memory,12,1,1,1024,2,double,289.79,0.0424031,0.000339225,5.55787
11,A100-SXM4-80GB,CUDA Explicit Memory,13,1,1,1024,2,double,289.758,0.0459418,0.000367534,6.02168
12,A100-SXM4-80GB,CUDA Explicit Memory,14,1,1,1024,2,double,289.909,0.04945,0.0003956,6.4815
13,A100-SXM4-80GB,CUDA Explicit Memory,16,1,1,1024,2,double,289.827,0.0565303,0.000452242,7.40954
14,A100-SXM4-80GB,CUDA Explicit Memory,17,1,1,1024,2,double,289.747,0.06008,0.00048064,7.87481
15,A100-SXM4-80GB,CUDA Explicit Memory,18,1,1,1024,2,double,289.772,0.0636085,0.000508868,8.3373
16,A100-SXM4-80GB,CUDA Explicit Memory,19,1,1,1024,2,double,289.765,0.067144,0.000537152,8.80069
17,A100-SXM4-80GB,CUDA Explicit Memory,21,1,1,1024,2,double,289.769,0.0742108,0.000593686,9.72695
18,A100-SXM4-80GB,CUDA Explicit Memory,22,1,1,1024,2,double,289.896,0.0777106,0.000621685,10.1857
19,A100-SXM4-80GB,CUDA Explicit Memory,24,1,1,1024,2,double,289.749,0.0848184,0.000678547,11.1173
20,A100-SXM4-80GB,CUDA Explicit Memory,25,1,1,1024,2,double,289.795,0.0883382,0.000706705,11.5787
21,A100-SXM4-80GB,CUDA Explicit Memory,27,1,1,1024,2,double,289.792,0.0954065,0.000763252,12.5051
22,A100-SXM4-80GB,CUDA Explicit Memory,29,1,1,1024,2,double,289.809,0.102468,0.000819741,13.4306
23,A100-SXM4-80GB,CUDA Explicit Memory,32,1,1,1024,2,double,289.776,0.113081,0.000904644,14.8217
24,A100-SXM4-80GB,CUDA Explicit Memory,34,1,1,1024,2,double,289.895,0.120099,0.00096079,15.7416
25,A100-SXM4-80GB,CUDA Explicit Memory,36,1,1,1024,2,double,289.813,0.127199,0.0010176,16.6723
26,A100-SXM4-80GB,CUDA Explicit Memory,39,1,1,1024,2,double,289.816,0.137798,0.00110238,18.0614
27,A100-SXM4-80GB,CUDA Explicit Memory,42,1,1,1024,2,double,289.791,0.14841,0.00118728,19.4525
28,A100-SXM4-80GB,CUDA Explicit Memory,45,1,1,1024,2,double,289.779,0.159018,0.00127214,20.8428
29,A100-SXM4-80GB,CUDA Explicit Memory,48,1,1,1024,2,double,289.792,0.169611,0.00135689,22.2313
30,A100-SXM4-80GB,CUDA Explicit Memory,51,1,1,1024,2,double,289.832,0.180187,0.0014415,23.6175
31,A100-SXM4-80GB,CUDA Explicit Memory,55,1,1,1024,2,double,289.83,0.19432,0.00155456,25.47
32,A100-SXM4-80GB,CUDA Explicit Memory,59,1,1,1024,2,double,289.817,0.208462,0.0016677,27.3236
33,A100-SXM4-80GB,CUDA Explicit Memory,64,1,1,1024,2,double,289.827,0.226121,0.00180897,29.6381
34,A100-SXM4-80GB,CUDA Explicit Memory,68,1,1,1024,2,double,289.848,0.240237,0.00192189,31.4883
35,A100-SXM4-80GB,CUDA Explicit Memory,73,1,1,1024,2,double,289.823,0.257923,0.00206338,33.8065
36,A100-SXM4-80GB,CUDA Explicit Memory,78,1,1,1024,2,double,289.898,0.275517,0.00220414,36.1126
37,A100-SXM4-80GB,CUDA Explicit Memory,84,1,1,1024,2,double,289.89,0.29672,0.00237376,38.8916
38,A100-SXM4-80GB,CUDA Explicit Memory,90,1,1,1024,2,double,289.9,0.317903,0.00254322,41.6682
39,A100-SXM4-80GB,CUDA Explicit Memory,97,1,1,1024,2,double,289.842,0.342697,0.00274158,44.918
40,A100-SXM4-80GB,CUDA Explicit Memory,103,1,1,1024,2,double,289.851,0.363883,0.00291107,47.6949
41,A100-SXM4-80GB,CUDA Explicit Memory,111,1,1,1024,2,double,289.862,0.392132,0.00313706,51.3975
42,A100-SXM4-80GB,CUDA Explicit Memory,119,1,1,1024,2,double,289.857,0.4204,0.0033632,55.1027
43,A100-SXM4-80GB,CUDA Explicit Memory,128,1,1,1024,2,double,289.876,0.452166,0.00361733,59.2663
44,A100-SXM4-80GB,CUDA Explicit Memory,137,1,1,1024,2,double,384.766,0.364606,0.00291685,47.7897
45,A100-SXM4-80GB,CUDA Explicit Memory,147,1,1,1024,2,double,384.744,0.391242,0.00312994,51.2809
46,A100-SXM4-80GB,CUDA Explicit Memory,157,1,1,1024,2,double,384.705,0.417899,0.00334319,54.7749
47,A100-SXM4-80GB,CUDA Explicit Memory,168,1,1,1024,2,double,384.758,0.447118,0.00357694,58.6046
48,A100-SXM4-80GB,CUDA Explicit Memory,181,1,1,1024,2,double,384.726,0.481755,0.00385404,63.1446
49,A100-SXM4-80GB,CUDA Explicit Memory,194,1,1,1024,2,double,384.682,0.516416,0.00413133,67.6877
