,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
52,A40,CUDA Explicit Memory,238,1,1,1024,2,double,4938.64,0.049348,0.000394784,6.46814
53,A40,CUDA Explicit Memory,256,1,1,1024,2,double,4938.65,0.0530801,0.000424641,6.95732
54,A40,CUDA Explicit Memory,274,1,1,1024,2,double,4938.65,0.0568123,0.000454498,7.4465
55,A40,CUDA Explicit Memory,294,1,1,1024,2,double,4938.64,0.0609593,0.000487674,7.99005
56,A40,CUDA Explicit Memory,315,1,1,1024,2,double,4938.65,0.0653134,0.000522507,8.56075
57,A40,CUDA Explicit Memory,337,1,1,1024,2,double,4938.65,0.0698749,0.000558999,9.15864
58,A40,CUDA Explicit Memory,362,1,1,1024,2,double,4938.65,0.0750586,0.000600469,9.83808
59,A40,CUDA Explicit Memory,388,1,1,1024,2,double,4938.64,0.0804497,0.000643598,10.5447
60,A40,CUDA Explicit Memory,415,1,1,1024,2,double,4938.64,0.086048,0.000688384,11.2785
61,A40,CUDA Explicit Memory,445,1,1,1024,2,double,4938.64,0.0922684,0.000738147,12.0938
62,A40,CUDA Explicit Memory,477,1,1,1024,2,double,4938.64,0.0989033,0.000791226,12.9634
63,A40,CUDA Explicit Memory,512,1,1,1024,2,double,4938.65,0.10616,0.000849281,13.9146
64,A40,CUDA Explicit Memory,548,1,1,1024,2,double,4938.65,0.113625,0.000908996,14.893
65,A40,CUDA Explicit Memory,588,1,1,1024,2,double,4938.65,0.121918,0.000975347,15.9801
66,A40,CUDA Explicit Memory,630,1,1,1024,2,double,4938.64,0.130627,0.00104502,17.1216
67,A40,CUDA Explicit Memory,675,1,1,1024,2,double,4938.65,0.139957,0.00111966,18.3445
68,A40,CUDA Explicit Memory,724,1,1,1024,2,double,4938.64,0.150117,0.00120094,19.6762
69,A40,CUDA Explicit Memory,776,1,1,1024,2,double,4938.67,0.160898,0.00128719,21.0893
70,A40,CUDA Explicit Memory,831,1,1,1024,2,double,4938.66,0.172303,0.00137842,22.584
71,A40,CUDA Explicit Memory,891,1,1,1024,2,double,4938.67,0.184743,0.00147794,24.2146
72,A40,CUDA Explicit Memory,955,1,1,1024,2,double,4938.65,0.198013,0.00158411,25.954
73,A40,CUDA Explicit Memory,1024,1,1,1024,2,double,4938.65,0.21232,0.00169856,27.8292
74,A40,CUDA Explicit Memory,1097,1,1,1024,2,double,4938.64,0.227457,0.00181965,29.8132
75,A40,CUDA Explicit Memory,1176,1,1,1024,2,double,4938.66,0.243836,0.00195069,31.9601
76,A40,CUDA Explicit Memory,1260,1,1,1024,2,double,4938.65,0.261254,0.00209003,34.243
77,A40,CUDA Explicit Memory,1351,1,1,1024,2,double,4938.66,0.280122,0.00224097,36.7161
78,A40,CUDA Explicit Memory,1448,1,1,1024,2,double,4938.66,0.300233,0.00240187,39.3522
79,A40,CUDA Explicit Memory,1552,1,1,1024,2,double,4938.67,0.321797,0.00257437,42.1786
80,A40,CUDA Explicit Memory,1663,1,1,1024,2,double,4938.68,0.344811,0.00275849,45.1951
81,A40,CUDA Explicit Memory,1782,1,1,1024,2,double,4938.69,0.369484,0.00295587,48.429
82,A40,CUDA Explicit Memory,1910,1,1,1024,2,double,4938.68,0.396025,0.0031682,51.9078
83,A40,CUDA Explicit Memory,2048,1,1,1024,2,double,4938.66,0.42464,0.00339712,55.6584
84,A40,CUDA Explicit Memory,2194,1,1,1024,2,double,4938.68,0.45491,0.00363928,59.626
85,A40,CUDA Explicit Memory,2352,1,1,1024,2,double,4938.67,0.487671,0.00390137,63.92
86,A40,CUDA Explicit Memory,2521,1,1,1024,2,double,4938.68,0.522711,0.00418169,68.5128
87,A40,CUDA Explicit Memory,2702,1,1,1024,2,double,4938.68,0.56024,0.00448192,73.4318
88,A40,CUDA Explicit Memory,2896,1,1,1024,2,double,4938.68,0.600465,0.00480372,78.7041
89,A40,CUDA Explicit Memory,3104,1,1,1024,2,double,4938.67,0.643594,0.00514875,84.3571
90,A40,CUDA Explicit Memory,3326,1,1,1024,2,double,4938.68,0.689622,0.00551698,90.3902
91,A40,CUDA Explicit Memory,3565,1,1,1024,2,double,4938.69,0.739176,0.00591341,96.8853
92,A40,CUDA Explicit Memory,3821,1,1,1024,2,double,4938.66,0.79226,0.00633808,103.843
93,A40,CUDA Explicit Memory,4096,1,1,1024,2,double,4938.66,0.84928,0.00679424,111.317
94,A40,CUDA Explicit Memory,4389,1,1,1024,2,double,4938.68,0.910028,0.00728023,119.279
95,A40,CUDA Explicit Memory,4705,1,1,1024,2,double,4938.68,0.975549,0.00780439,127.867
96,A40,CUDA Explicit Memory,5042,1,1,1024,2,double,4938.67,1.04542,0.0083634,137.026
97,A40,CUDA Explicit Memory,5404,1,1,1024,2,double,4938.68,1.12048,0.00896384,146.864
98,A40,CUDA Explicit Memory,5792,1,1,1024,2,double,4938.68,1.20093,0.00960743,157.408
99,A40,CUDA Explicit Memory,6208,1,1,1024,2,double,4938.69,1.28718,0.0102975,168.714
100,A40,CUDA Explicit Memory,6653,1,1,1024,2,double,4938.68,1.37945,0.0110356,180.807
101,A40,CUDA Explicit Memory,7131,1,1,1024,2,double,4938.7,1.47856,0.0118284,193.797
102,A40,CUDA Explicit Memory,7643,1,1,1024,2,double,4938.69,1.58472,0.0126777,207.712
103,A40,CUDA Explicit Memory,8192,1,1,1024,2,double,4938.69,1.69855,0.0135884,222.632
104,A40,CUDA Explicit Memory,8779,1,1,1024,2,double,4938.68,1.82026,0.0145621,238.585
105,A40,CUDA Explicit Memory,9410,1,1,1024,2,double,4938.69,1.95109,0.0156087,255.734
106,A40,CUDA Explicit Memory,10085,1,1,1024,2,double,4938.67,2.09106,0.0167285,274.079
107,A40,CUDA Explicit Memory,10809,1,1,1024,2,double,4938.69,2.24117,0.0179293,293.754
108,A40,CUDA Explicit Memory,11585,1,1,1024,2,double,4938.68,2.40207,0.0192165,314.844
109,A40,CUDA Explicit Memory,12416,1,1,1024,2,double,4938.7,2.57436,0.0205949,337.426
110,A40,CUDA Explicit Memory,13307,1,1,1024,2,double,4938.67,2.75912,0.0220729,361.643
111,A40,CUDA Explicit Memory,14263,1,1,1024,2,double,4938.71,2.95732,0.0236585,387.621
112,A40,CUDA Explicit Memory,15286,1,1,1024,2,double,4938.72,3.16941,0.0253553,415.421
113,A40,CUDA Explicit Memory,16384,1,1,1024,2,double,4938.77,3.39704,0.0271763,445.257
114,A40,CUDA Explicit Memory,17559,1,1,1024,2,double,4938.74,3.64069,0.0291255,477.192
115,A40,CUDA Explicit Memory,18820,1,1,1024,2,double,4938.84,3.90206,0.0312165,511.451
116,A40,CUDA Explicit Memory,20171,1,1,1024,2,double,4938.75,4.18225,0.033458,548.176
117,A40,CUDA Explicit Memory,21618,1,1,1024,2,double,7407.1,2.9886,0.0239088,391.721
118,A40,CUDA Explicit Memory,23170,1,1,1024,2,double,9875.65,2.40248,0.0192199,314.898
119,A40,CUDA Explicit Memory,24833,1,1,1024,2,double,9875.55,2.57494,0.0205996,337.503
120,A40,CUDA Explicit Memory,26615,1,1,1024,2,double,9875.63,2.7597,0.0220776,361.719
121,A40,CUDA Explicit Memory,28526,1,1,1024,2,double,9875.59,2.95786,0.0236629,387.693
122,A40,CUDA Explicit Memory,30573,1,1,1024,2,double,9875.61,3.17011,0.0253609,415.513
123,A40,CUDA Explicit Memory,32768,1,1,1024,2,double,9875.6,3.39771,0.0271817,445.345
124,A40,CUDA Explicit Memory,35119,1,1,1024,2,double,9875.63,3.64147,0.0291318,477.295
125,A40,CUDA Explicit Memory,37640,1,1,1024,2,double,9875.64,3.90287,0.031223,511.557
126,A40,CUDA Explicit Memory,40342,1,1,1024,2,double,9875.64,4.18304,0.0334643,548.279
127,A40,CUDA Explicit Memory,43237,1,1,1024,2,double,14812.4,2.98902,0.0239122,391.777
128,A40,CUDA Explicit Memory,46340,1,1,1024,2,double,14812.5,3.20352,0.0256282,419.892
129,A40,CUDA Explicit Memory,49667,1,1,1024,2,double,14812.5,3.43351,0.0274681,450.037
130,A40,CUDA Explicit Memory,53231,1,1,1024,2,double,14812.5,3.67989,0.0294392,482.331
131,A40,CUDA Explicit Memory,57052,1,1,1024,2,double,14812.5,3.94404,0.0315523,516.953
132,A40,CUDA Explicit Memory,61147,1,1,1024,2,double,14812.9,4.22704,0.0338163,554.047
133,A40,CUDA Explicit Memory,65536,1,1,1024,2,double,19749.5,3.39801,0.0271841,445.384
134,A40,CUDA Explicit Memory,70239,1,1,1024,2,double,19749.5,3.64185,0.0291348,477.345
135,A40,CUDA Explicit Memory,75281,1,1,1024,2,double,19749.7,3.90323,0.0312258,511.604
136,A40,CUDA Explicit Memory,80684,1,1,1024,2,double,19749.5,4.18342,0.0334674,548.329
137,A40,CUDA Explicit Memory,86475,1,1,1024,2,double,24686.4,3.58701,0.0286961,470.157
138,A40,CUDA Explicit Memory,92681,1,1,1024,2,double,24686.4,3.84443,0.0307555,503.898
139,A40,CUDA Explicit Memory,99334,1,1,1024,2,double,24686.4,4.1204,0.0329632,540.069
140,A40,CUDA Explicit Memory,106463,1,1,1024,2,double,24686.4,4.41611,0.0353289,578.829
141,A40,CUDA Explicit Memory,114104,1,1,1024,2,double,29623.2,3.94428,0.0315543,516.985
142,A40,CUDA Explicit Memory,122294,1,1,1024,2,double,29623.3,4.22738,0.033819,554.091
143,A40,CUDA Explicit Memory,131072,1,1,1024,2,double,34560.1,3.8836,0.0310688,509.032
144,A40,CUDA Explicit Memory,140479,1,1,1024,2,double,34560.2,4.16231,0.0332985,545.562
145,A40,CUDA Explicit Memory,150562,1,1,1024,2,double,35909.4,4.29345,0.0343476,562.752
146,A40,CUDA Explicit Memory,161368,1,1,1024,2,double,39497.0,4.18363,0.0334691,548.357
147,A40,CUDA Explicit Memory,172950,1,1,1024,2,double,44433.7,3.98573,0.0318858,522.417
148,A40,CUDA Explicit Memory,185363,1,1,1024,2,double,44433.9,4.27178,0.0341742,559.91
149,A40,CUDA Explicit Memory,198668,1,1,1024,2,double,49370.7,4.12058,0.0329646,540.093
150,A40,CUDA Explicit Memory,212927,1,1,1024,2,double,49370.8,4.41632,0.0353306,578.856
151,A40,CUDA Explicit Memory,228209,1,1,1024,2,double,54307.6,4.303,0.034424,564.003
152,A40,CUDA Explicit Memory,244589,1,1,1024,2,double,59244.6,4.22754,0.0338204,554.113
153,A40,CUDA Explicit Memory,262144,1,1,1024,2,double,64181.5,4.18245,0.0334596,548.202
154,A40,CUDA Explicit Memory,280958,1,1,1024,2,double,69118.2,4.16245,0.0332996,545.581
155,A40,CUDA Explicit Memory,301124,1,1,1024,2,double,71044.9,4.34023,0.0347218,568.883
156,A40,CUDA Explicit Memory,322737,1,1,1024,2,double,77777.2,4.2491,0.0339928,556.938
157,A40,CUDA Explicit Memory,345901,1,1,1024,2,double,83928.8,4.22028,0.0337622,553.16
158,A40,CUDA Explicit Memory,370727,1,1,1024,2,double,88865.7,4.27189,0.0341751,559.925
159,A40,CUDA Explicit Memory,397336,1,1,1024,2,double,93802.6,4.33754,0.0347003,568.529
160,A40,CUDA Explicit Memory,425854,1,1,1024,2,double,98739.5,4.41641,0.0353313,578.868
161,A40,CUDA Explicit Memory,456419,1,1,1024,2,double,108613.0,4.3031,0.0344248,564.016
162,A40,CUDA Explicit Memory,489178,1,1,1024,2,double,113550.0,4.41143,0.0352914,578.215
