,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
0,A40,CUDA Explicit Memory,2,1,1,1024,2,float,1,158.235,0.0129428,5.17712e-05,1.69644
1,A40,CUDA Explicit Memory,3,1,1,1024,2,float,1,158.197,0.0194188,7.76753e-05,2.54526
2,A40,CUDA Explicit Memory,4,1,1,1024,2,float,1,158.233,0.0258858,0.000103543,3.39291
3,A40,CUDA Explicit Memory,5,1,1,1024,2,float,1,158.201,0.0323639,0.000129456,4.24201
4,A40,CUDA Explicit Memory,6,1,1,1024,2,float,1,158.224,0.0388309,0.000155324,5.08965
5,A40,CUDA Explicit Memory,7,1,1,1024,2,float,1,158.194,0.0453114,0.000181246,5.93906
6,A40,CUDA Explicit Memory,8,1,1,1024,2,float,1,158.231,0.0517725,0.00020709,6.78592
7,A40,CUDA Explicit Memory,9,1,1,1024,2,float,1,158.194,0.0582576,0.00023303,7.63594
8,A40,CUDA Explicit Memory,10,1,1,1024,2,float,1,158.19,0.0647324,0.000258929,8.4846
9,A40,CUDA Explicit Memory,11,1,1,1024,2,float,1,158.198,0.071202,0.000284808,9.33258
10,A40,CUDA Explicit Memory,12,1,1,1024,2,float,1,158.226,0.0776612,0.000310645,10.1792
11,A40,CUDA Explicit Memory,13,1,1,1024,2,float,1,158.204,0.0841446,0.000336579,11.029
12,A40,CUDA Explicit Memory,14,1,1,1024,2,float,1,158.26,0.0905852,0.000362341,11.8732
13,A40,CUDA Explicit Memory,16,1,1,1024,2,float,1,158.189,0.103572,0.00041429,13.5754
14,A40,CUDA Explicit Memory,17,1,1,1024,2,float,1,158.202,0.110037,0.000440147,14.4228
15,A40,CUDA Explicit Memory,18,1,1,1024,2,float,1,158.194,0.116515,0.000466062,15.2719
16,A40,CUDA Explicit Memory,19,1,1,1024,2,float,1,158.193,0.122989,0.000491957,16.1204
17,A40,CUDA Explicit Memory,21,1,1,1024,2,float,1,158.193,0.135936,0.000543742,17.8173
18,A40,CUDA Explicit Memory,22,1,1,1024,2,float,1,158.228,0.142377,0.000569506,18.6616
19,A40,CUDA Explicit Memory,24,1,1,1024,2,float,1,158.192,0.155356,0.000621423,20.3628
20,A40,CUDA Explicit Memory,25,1,1,1024,2,float,1,158.191,0.161829,0.000647318,21.2113
21,A40,CUDA Explicit Memory,27,1,1,1024,2,float,1,158.204,0.174762,0.000699049,22.9064
22,A40,CUDA Explicit Memory,29,1,1,1024,2,float,1,158.207,0.187704,0.000750814,24.6027
23,A40,CUDA Explicit Memory,32,1,1,1024,2,float,1,158.225,0.207097,0.000828388,27.1446
24,A40,CUDA Explicit Memory,34,1,1,1024,2,float,1,158.198,0.220079,0.000880316,28.8462
25,A40,CUDA Explicit Memory,36,1,1,1024,2,float,1,158.198,0.233025,0.000932099,30.543
26,A40,CUDA Explicit Memory,39,1,1,1024,2,float,1,158.228,0.252395,0.00100958,33.0819
27,A40,CUDA Explicit Memory,42,1,1,1024,2,float,1,158.207,0.271847,0.00108739,35.6315
28,A40,CUDA Explicit Memory,45,1,1,1024,2,float,1,158.206,0.291266,0.00116506,38.1768
29,A40,CUDA Explicit Memory,48,1,1,1024,2,float,1,158.2,0.310696,0.00124278,40.7235
30,A40,CUDA Explicit Memory,51,1,1,1024,2,float,1,158.211,0.330091,0.00132036,43.2657
31,A40,CUDA Explicit Memory,55,1,1,1024,2,float,1,158.219,0.355963,0.00142385,46.6567
32,A40,CUDA Explicit Memory,59,1,1,1024,2,float,1,158.196,0.381906,0.00152763,50.0572
33,A40,CUDA Explicit Memory,64,1,1,1024,2,float,1,158.193,0.414278,0.00165711,54.3002
34,A40,CUDA Explicit Memory,68,1,1,1024,2,float,1,158.195,0.440166,0.00176066,57.6934
35,A40,CUDA Explicit Memory,73,1,1,1024,2,float,1,158.205,0.472501,0.00189001,61.9317
36,A40,CUDA Explicit Memory,78,1,1,1024,2,float,1,158.185,0.504929,0.00201972,66.1821
37,A40,CUDA Explicit Memory,84,1,1,1024,2,float,1,158.218,0.543654,0.00217461,71.2578
38,A40,CUDA Explicit Memory,90,1,1,1024,2,float,1,158.205,0.582534,0.00233013,76.3539
39,A40,CUDA Explicit Memory,97,1,1,1024,2,float,1,158.203,0.627853,0.00251141,82.294
40,A40,CUDA Explicit Memory,103,1,1,1024,2,float,1,158.232,0.666567,0.00266627,87.3683
41,A40,CUDA Explicit Memory,111,1,1,1024,2,float,1,158.205,0.718461,0.00287384,94.1701
42,A40,CUDA Explicit Memory,119,1,1,1024,2,float,1,158.2,0.770263,0.00308105,100.96
43,A40,CUDA Explicit Memory,128,1,1,1024,2,float,1,158.229,0.828367,0.00331347,108.576
44,A40,CUDA Explicit Memory,137,1,1,1024,2,float,1,158.239,0.886558,0.00354623,116.203
45,A40,CUDA Explicit Memory,147,1,1,1024,2,float,1,158.222,0.951371,0.00380549,124.698
46,A40,CUDA Explicit Memory,157,1,1,1024,2,float,1,158.214,1.01615,0.00406458,133.188
47,A40,CUDA Explicit Memory,168,1,1,1024,2,float,1,158.208,1.08738,0.00434951,142.525
48,A40,CUDA Explicit Memory,181,1,1,1024,2,float,1,158.21,1.17151,0.00468603,153.552
49,A40,CUDA Explicit Memory,194,1,1,1024,2,float,1,158.21,1.25565,0.0050226,164.581
50,A40,CUDA Explicit Memory,207,1,1,1024,2,float,1,158.194,1.33992,0.00535968,175.626
51,A40,CUDA Explicit Memory,222,1,1,1024,2,float,1,158.228,1.43671,0.00574684,188.312
52,A40,CUDA Explicit Memory,238,1,1,1024,2,float,1,196.162,1.2424,0.00496959,162.844
53,A40,CUDA Explicit Memory,256,1,1,1024,2,float,1,196.169,1.33631,0.00534526,175.153
54,A40,CUDA Explicit Memory,274,1,1,1024,2,float,1,196.179,1.4302,0.00572081,187.459
55,A40,CUDA Explicit Memory,294,1,1,1024,2,float,1,196.173,1.53464,0.00613857,201.149
56,A40,CUDA Explicit Memory,315,1,1,1024,2,float,1,196.178,1.64422,0.00657688,215.511
57,A40,CUDA Explicit Memory,337,1,1,1024,2,float,1,196.186,1.75898,0.00703593,230.553
58,A40,CUDA Explicit Memory,362,1,1,1024,2,float,1,196.226,1.88908,0.00755634,247.606
59,A40,CUDA Explicit Memory,388,1,1,1024,2,float,1,196.23,2.02473,0.00809891,265.385
60,A40,CUDA Explicit Memory,415,1,1,1024,2,float,1,196.191,2.16605,0.00866421,283.909
61,A40,CUDA Explicit Memory,445,1,1,1024,2,float,1,196.176,2.32281,0.00929125,304.456
62,A40,CUDA Explicit Memory,477,1,1,1024,2,float,1,196.196,2.4896,0.00995838,326.316
63,A40,CUDA Explicit Memory,512,1,1,1024,2,float,1,196.169,2.67263,0.0106905,350.307
64,A40,CUDA Explicit Memory,548,1,1,1024,2,float,1,196.176,2.86045,0.0114418,374.925
65,A40,CUDA Explicit Memory,588,1,1,1024,2,float,1,196.197,3.06891,0.0122756,402.248
66,A40,CUDA Explicit Memory,630,1,1,1024,2,float,1,196.167,3.28862,0.0131545,431.046
67,A40,CUDA Explicit Memory,675,1,1,1024,2,float,1,196.176,3.52336,0.0140934,461.814
68,A40,CUDA Explicit Memory,724,1,1,1024,2,float,1,196.183,3.779,0.015116,495.322
69,A40,CUDA Explicit Memory,776,1,1,1024,2,float,1,196.183,4.05042,0.0162017,530.896
70,A40,CUDA Explicit Memory,831,1,1,1024,2,float,1,196.179,4.33758,0.0173503,568.536
71,A40,CUDA Explicit Memory,891,1,1,1024,2,float,1,196.179,4.65078,0.0186031,609.587
72,A40,CUDA Explicit Memory,955,1,1,1024,2,float,1,196.189,4.98458,0.0199383,653.339
73,A40,CUDA Explicit Memory,1024,1,1,1024,2,float,1,196.201,5.34439,0.0213776,700.5
74,A40,CUDA Explicit Memory,1097,1,1,1024,2,float,1,196.188,5.72578,0.0229031,750.489
75,A40,CUDA Explicit Memory,1176,1,1,1024,2,float,1,196.256,6.136,0.024544,804.258
76,A40,CUDA Explicit Memory,1260,1,1,1024,2,float,1,196.196,6.57628,0.0263051,861.966
77,A40,CUDA Explicit Memory,1351,1,1,1024,2,float,1,196.185,7.05163,0.0282065,924.271
78,A40,CUDA Explicit Memory,1448,1,1,1024,2,float,1,196.182,7.55805,0.0302322,990.649
79,A40,CUDA Explicit Memory,1552,1,1,1024,2,float,1,196.244,8.09834,0.0323934,1061.47
80,A40,CUDA Explicit Memory,1663,1,1,1024,2,float,1,196.246,8.67742,0.0347097,1137.37
81,A40,CUDA Explicit Memory,1782,1,1,1024,2,float,1,196.253,9.29802,0.0371921,1218.71
82,A40,CUDA Explicit Memory,1910,1,1,1024,2,float,1,196.267,9.96521,0.0398609,1306.16
83,A40,CUDA Explicit Memory,2048,1,1,1024,2,float,1,196.261,10.6855,0.042742,1400.57
84,A40,CUDA Explicit Memory,2194,1,1,1024,2,float,1,196.256,11.4476,0.0457904,1500.46
85,A40,CUDA Explicit Memory,2352,1,1,1024,2,float,1,196.235,12.2733,0.049093,1608.68
86,A40,CUDA Explicit Memory,2521,1,1,1024,2,float,1,196.232,13.1554,0.0526216,1724.3
87,A40,CUDA Explicit Memory,2702,1,1,1024,2,float,1,196.233,14.0998,0.0563991,1848.09
88,A40,CUDA Explicit Memory,2896,1,1,1024,2,float,1,196.234,15.1121,0.0604485,1980.78
89,A40,CUDA Explicit Memory,3104,1,1,1024,2,float,1,196.268,16.1947,0.0647786,2122.67
90,A40,CUDA Explicit Memory,3326,1,1,1024,2,float,1,196.288,17.3512,0.0694048,2274.26
91,A40,CUDA Explicit Memory,3565,1,1,1024,2,float,1,196.239,18.6026,0.0744105,2438.28
92,A40,CUDA Explicit Memory,3821,1,1,1024,2,float,1,196.24,19.9384,0.0797534,2613.36
93,A40,CUDA Explicit Memory,4096,1,1,1024,2,float,1,196.248,21.3724,0.0854897,2801.33
94,A40,CUDA Explicit Memory,4389,1,1,1024,2,float,1,196.258,22.9001,0.0916006,3001.57
95,A40,CUDA Explicit Memory,4705,1,1,1024,2,float,1,196.282,24.5459,0.0981834,3217.27
96,A40,CUDA Explicit Memory,5042,1,1,1024,2,float,1,196.22,26.3123,0.105249,3448.81
97,A40,CUDA Explicit Memory,5404,1,1,1024,2,float,1,196.249,28.1973,0.112789,3695.88
98,A40,CUDA Explicit Memory,5792,1,1,1024,2,float,1,196.239,30.2234,0.120894,3961.45
99,A40,CUDA Explicit Memory,6208,1,1,1024,2,float,1,196.243,32.3935,0.129574,4245.88
100,A40,CUDA Explicit Memory,6653,1,1,1024,2,float,1,196.252,34.7138,0.138855,4550.01
101,A40,CUDA Explicit Memory,7131,1,1,1024,2,float,1,196.286,37.2015,0.148806,4876.07
102,A40,CUDA Explicit Memory,7643,1,1,1024,2,float,1,196.259,39.8781,0.159512,5226.9
103,A40,CUDA Explicit Memory,8192,1,1,1024,2,float,1,196.281,42.7377,0.170951,5601.72
104,A40,CUDA Explicit Memory,8779,1,1,1024,2,float,1,196.3,45.7958,0.183183,6002.55
105,A40,CUDA Explicit Memory,9410,1,1,1024,2,float,1,196.312,49.0842,0.196337,6433.57
106,A40,CUDA Explicit Memory,10085,1,1,1024,2,float,1,196.352,52.5946,0.210378,6893.68
107,A40,CUDA Explicit Memory,10809,1,1,1024,2,float,1,196.358,56.3686,0.225475,7388.35
108,A40,CUDA Explicit Memory,11585,1,1,1024,2,float,1,196.327,60.4249,0.2417,7920.02
109,A40,CUDA Explicit Memory,12416,1,1,1024,2,float,1,196.34,64.7549,0.25902,8487.56
110,A40,CUDA Explicit Memory,13307,1,1,1024,2,float,1,196.334,69.4041,0.277616,9096.93
111,A40,CUDA Explicit Memory,14263,1,1,1024,2,float,1,196.383,74.3717,0.297487,9748.04
112,A40,CUDA Explicit Memory,15286,1,1,1024,2,float,1,196.369,79.7114,0.318846,10447.9
113,A40,CUDA Explicit Memory,16384,1,1,1024,2,float,1,196.387,85.4295,0.341718,11197.4
114,A40,CUDA Explicit Memory,17559,1,1,1024,2,float,1,196.36,91.5687,0.366275,12002.1
115,A40,CUDA Explicit Memory,18820,1,1,1024,2,float,1,196.371,98.1393,0.392557,12863.3
116,A40,CUDA Explicit Memory,20171,1,1,1024,2,float,1,196.408,105.164,0.420657,13784.1
117,A40,CUDA Explicit Memory,21618,1,1,1024,2,float,1,234.802,94.2789,0.377115,12357.3
118,A40,CUDA Explicit Memory,23170,1,1,1024,2,float,1,312.372,75.9547,0.303819,9955.53
119,A40,CUDA Explicit Memory,24833,1,1,1024,2,float,1,312.356,81.4104,0.325642,10670.6
120,A40,CUDA Explicit Memory,26615,1,1,1024,2,float,1,312.359,87.2515,0.349006,11436.2
121,A40,CUDA Explicit Memory,28526,1,1,1024,2,float,1,312.322,93.5272,0.374109,12258.8
122,A40,CUDA Explicit Memory,30573,1,1,1024,2,float,1,312.299,100.246,0.400984,13139.4
123,A40,CUDA Explicit Memory,32768,1,1,1024,2,float,1,312.293,107.445,0.429782,14083.1
124,A40,CUDA Explicit Memory,35119,1,1,1024,2,float,1,312.271,115.162,0.46065,15094.6
125,A40,CUDA Explicit Memory,37640,1,1,1024,2,float,1,312.218,123.45,0.493801,16180.9
126,A40,CUDA Explicit Memory,40342,1,1,1024,2,float,1,312.213,132.314,0.529256,17342.7
127,A40,CUDA Explicit Memory,43237,1,1,1024,2,float,1,503.547,87.9256,0.351703,11524.6
128,A40,CUDA Explicit Memory,46340,1,1,1024,2,float,1,503.524,94.2401,0.376961,12352.2
129,A40,CUDA Explicit Memory,49667,1,1,1024,2,float,1,503.496,101.012,0.404047,13239.8
130,A40,CUDA Explicit Memory,53231,1,1,1024,2,float,1,503.367,108.288,0.433151,14193.5
131,A40,CUDA Explicit Memory,57052,1,1,1024,2,float,1,503.389,116.056,0.464224,15211.7
132,A40,CUDA Explicit Memory,61147,1,1,1024,2,float,1,503.358,124.394,0.497575,16304.5
133,A40,CUDA Explicit Memory,65536,1,1,1024,2,float,1,622.558,107.795,0.431182,14129.0
134,A40,CUDA Explicit Memory,70239,1,1,1024,2,float,1,622.496,115.542,0.46217,15144.4
135,A40,CUDA Explicit Memory,75281,1,1,1024,2,float,1,622.482,123.839,0.495357,16231.9
136,A40,CUDA Explicit Memory,80684,1,1,1024,2,float,1,622.432,132.738,0.530953,17398.3
137,A40,CUDA Explicit Memory,86475,1,1,1024,2,float,1,810.602,109.24,0.436961,14318.3
138,A40,CUDA Explicit Memory,92681,1,1,1024,2,float,1,810.586,117.082,0.468329,15346.2
139,A40,CUDA Explicit Memory,99334,1,1,1024,2,float,1,810.501,125.5,0.502001,16449.6
