,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
44,A100-SXM4-80GB,CUDA Explicit Memory,137,1,1,1024,2,double,1,385.283,0.364117,0.00291293,47.7255
45,A100-SXM4-80GB,CUDA Explicit Memory,147,1,1,1024,2,double,1,385.223,0.390756,0.00312605,51.2172
46,A100-SXM4-80GB,CUDA Explicit Memory,157,1,1,1024,2,double,1,385.259,0.417299,0.00333839,54.6962
47,A100-SXM4-80GB,CUDA Explicit Memory,168,1,1,1024,2,double,1,385.237,0.446561,0.00357249,58.5317
48,A100-SXM4-80GB,CUDA Explicit Memory,181,1,1,1024,2,double,1,385.226,0.481131,0.00384905,63.0628
49,A100-SXM4-80GB,CUDA Explicit Memory,194,1,1,1024,2,double,1,385.24,0.515668,0.00412534,67.5896
50,A100-SXM4-80GB,CUDA Explicit Memory,207,1,1,1024,2,double,1,385.322,0.550107,0.00440085,72.1036
51,A100-SXM4-80GB,CUDA Explicit Memory,222,1,1,1024,2,double,1,385.29,0.590019,0.00472015,77.3349
52,A100-SXM4-80GB,CUDA Explicit Memory,238,1,1,1024,2,double,1,385.223,0.632652,0.00506122,82.923
53,A100-SXM4-80GB,CUDA Explicit Memory,256,1,1,1024,2,double,1,385.248,0.680454,0.00544364,89.1885
54,A100-SXM4-80GB,CUDA Explicit Memory,274,1,1,1024,2,double,1,385.283,0.728233,0.00582587,95.451
55,A100-SXM4-80GB,CUDA Explicit Memory,294,1,1,1024,2,double,1,385.291,0.781373,0.00625099,102.416
56,A100-SXM4-80GB,CUDA Explicit Memory,315,1,1,1024,2,double,1,385.299,0.837167,0.00669734,109.729
57,A100-SXM4-80GB,CUDA Explicit Memory,337,1,1,1024,2,double,1,385.326,0.895574,0.00716459,117.385
58,A100-SXM4-80GB,CUDA Explicit Memory,362,1,1,1024,2,double,1,385.432,0.961747,0.00769398,126.058
59,A100-SXM4-80GB,CUDA Explicit Memory,388,1,1,1024,2,double,1,386.68,1.0275,0.00821996,134.676
60,A100-SXM4-80GB,CUDA Explicit Memory,415,1,1,1024,2,double,1,387.168,1.09761,0.00878088,143.866
61,A100-SXM4-80GB,CUDA Explicit Memory,445,1,1,1024,2,double,1,387.069,1.17726,0.00941807,154.306
62,A100-SXM4-80GB,CUDA Explicit Memory,477,1,1,1024,2,double,1,387.035,1.26203,0.0100962,165.416
63,A100-SXM4-80GB,CUDA Explicit Memory,512,1,1,1024,2,double,1,387.03,1.35465,0.0108372,177.556
64,A100-SXM4-80GB,CUDA Explicit Memory,548,1,1,1024,2,double,1,386.933,1.45026,0.0116021,190.088
