,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
0,A40,CUDA Explicit Memory,2,1,1,1024,2,double,2.30897,0.886977,0.0141916,0.000886977
1,A40,CUDA Explicit Memory,3,1,1,1024,2,double,2.25096,1.36475,0.021836,0.00136475
2,A40,CUDA Explicit Memory,4,1,1,1024,2,double,2.24389,1.82541,0.0292065,0.00182541
3,A40,CUDA Explicit Memory,5,1,1,1024,2,double,2.22558,2.30052,0.0368084,0.00230052
4,A40,CUDA Explicit Memory,6,1,1,1024,2,double,2.19888,2.79415,0.0447064,0.00279415
5,A40,CUDA Explicit Memory,7,1,1,1024,2,double,2.255,3.17872,0.0508595,0.00317872
6,A40,CUDA Explicit Memory,8,1,1,1024,2,double,2.25668,3.63011,0.0580818,0.00363011
7,A40,CUDA Explicit Memory,9,1,1,1024,2,double,2.29013,4.02422,0.0643876,0.00402422
8,A40,CUDA Explicit Memory,10,1,1,1024,2,double,2.26266,4.52565,0.0724104,0.00452565
9,A40,CUDA Explicit Memory,11,1,1,1024,2,double,2.23152,5.04768,0.0807629,0.00504768
10,A40,CUDA Explicit Memory,12,1,1,1024,2,double,2.2543,5.45091,0.0872145,0.00545091
11,A40,CUDA Explicit Memory,13,1,1,1024,2,double,2.27406,5.85384,0.0936615,0.00585384
12,A40,CUDA Explicit Memory,14,1,1,1024,2,double,2.24773,6.37798,0.102048,0.00637798
13,A40,CUDA Explicit Memory,16,1,1,1024,2,double,2.26892,7.22105,0.115537,0.00722105
14,A40,CUDA Explicit Memory,17,1,1,1024,2,double,2.26857,7.67355,0.122777,0.00767355
15,A40,CUDA Explicit Memory,18,1,1,1024,2,double,2.2646,8.13917,0.130227,0.00813917
16,A40,CUDA Explicit Memory,19,1,1,1024,2,double,2.23982,8.68642,0.138983,0.00868642
17,A40,CUDA Explicit Memory,21,1,1,1024,2,double,2.27396,9.45663,0.151306,0.00945663
18,A40,CUDA Explicit Memory,22,1,1,1024,2,double,2.24904,10.0167,0.160267,0.0100167
19,A40,CUDA Explicit Memory,24,1,1,1024,2,double,2.28585,10.7513,0.172022,0.0107513
20,A40,CUDA Explicit Memory,25,1,1,1024,2,double,2.22969,11.4814,0.183703,0.0114814
21,A40,CUDA Explicit Memory,27,1,1,1024,2,double,2.26535,12.2047,0.195275,0.0122047
22,A40,CUDA Explicit Memory,29,1,1,1024,2,double,2.25336,13.1785,0.210856,0.0131785
23,A40,CUDA Explicit Memory,32,1,1,1024,2,double,2.25422,14.5363,0.23258,0.0145363
24,A40,CUDA Explicit Memory,34,1,1,1024,2,double,2.29297,15.1838,0.242941,0.0151838
25,A40,CUDA Explicit Memory,36,1,1,1024,2,double,2.2725,16.2218,0.259549,0.0162218
26,A40,CUDA Explicit Memory,39,1,1,1024,2,double,2.23849,17.8406,0.285449,0.0178406
27,A40,CUDA Explicit Memory,42,1,1,1024,2,double,2.26454,18.9919,0.30387,0.0189919
28,A40,CUDA Explicit Memory,45,1,1,1024,2,double,2.20052,20.9405,0.335048,0.0209405
29,A40,CUDA Explicit Memory,48,1,1,1024,2,double,2.2561,21.7863,0.348581,0.0217863
30,A40,CUDA Explicit Memory,51,1,1,1024,2,double,2.28092,22.896,0.366336,0.022896
31,A40,CUDA Explicit Memory,55,1,1,1024,2,double,2.18836,25.7362,0.411779,0.0257362
32,A40,CUDA Explicit Memory,59,1,1,1024,2,double,2.24146,26.9539,0.431262,0.0269539
33,A40,CUDA Explicit Memory,64,1,1,1024,2,double,2.2567,29.0406,0.46465,0.0290406
34,A40,CUDA Explicit Memory,68,1,1,1024,2,double,2.26687,30.7173,0.491477,0.0307173
35,A40,CUDA Explicit Memory,73,1,1,1024,2,double,2.27588,32.8453,0.525524,0.0328453
36,A40,CUDA Explicit Memory,78,1,1,1024,2,double,2.25384,35.4381,0.56701,0.0354381
