,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
45,A100-SXM4-80GB,CUDA Explicit Memory,147,1,1,1024,2,double,2.31179,65.1133,1.04181,0.0651133
46,A100-SXM4-80GB,CUDA Explicit Memory,157,1,1,1024,2,double,2.33929,68.7251,1.0996,0.0687251
47,A100-SXM4-80GB,CUDA Explicit Memory,168,1,1,1024,2,double,2.35357,73.0941,1.16951,0.0730941
48,A100-SXM4-80GB,CUDA Explicit Memory,181,1,1,1024,2,double,2.46764,75.1097,1.20176,0.0751097
49,A100-SXM4-80GB,CUDA Explicit Memory,194,1,1,1024,2,double,2.39545,82.9305,1.32689,0.0829305
50,A100-SXM4-80GB,CUDA Explicit Memory,207,1,1,1024,2,double,2.80804,75.4861,1.20778,0.0754861
51,A100-SXM4-80GB,CUDA Explicit Memory,222,1,1,1024,2,double,2.81968,80.6219,1.28995,0.0806219
52,A100-SXM4-80GB,CUDA Explicit Memory,238,1,1,1024,2,double,2.94868,82.6513,1.32242,0.0826513
53,A100-SXM4-80GB,CUDA Explicit Memory,256,1,1,1024,2,double,2.81281,93.1966,1.49115,0.0931966
54,A100-SXM4-80GB,CUDA Explicit Memory,274,1,1,1024,2,double,2.90096,96.7183,1.54749,0.0967183
55,A100-SXM4-80GB,CUDA Explicit Memory,294,1,1,1024,2,double,2.77537,108.474,1.73559,0.108474
56,A100-SXM4-80GB,CUDA Explicit Memory,315,1,1,1024,2,double,2.68331,120.21,1.92336,0.12021
57,A100-SXM4-80GB,CUDA Explicit Memory,337,1,1,1024,2,double,2.53636,136.056,2.1769,0.136056
58,A100-SXM4-80GB,CUDA Explicit Memory,362,1,1,1024,2,double,2.56873,144.308,2.30892,0.144308
59,A100-SXM4-80GB,CUDA Explicit Memory,388,1,1,1024,2,double,2.53119,156.967,2.51146,0.156967
60,A100-SXM4-80GB,CUDA Explicit Memory,415,1,1,1024,2,double,2.74769,154.661,2.47458,0.154661
61,A100-SXM4-80GB,CUDA Explicit Memory,445,1,1,1024,2,double,2.5713,177.218,2.83549,0.177218
62,A100-SXM4-80GB,CUDA Explicit Memory,477,1,1,1024,2,double,2.54603,191.847,3.06955,0.191847
63,A100-SXM4-80GB,CUDA Explicit Memory,512,1,1,1024,2,double,2.57502,203.606,3.25769,0.203606
64,A100-SXM4-80GB,CUDA Explicit Memory,548,1,1,1024,2,double,2.61132,214.892,3.43828,0.214892
65,A100-SXM4-80GB,CUDA Explicit Memory,588,1,1,1024,2,double,2.7084,222.313,3.55701,0.222313
66,A100-SXM4-80GB,CUDA Explicit Memory,630,1,1,1024,2,double,2.56416,251.591,4.02545,0.251591
67,A100-SXM4-80GB,CUDA Explicit Memory,675,1,1,1024,2,double,2.63886,261.931,4.1909,0.261931
68,A100-SXM4-80GB,CUDA Explicit Memory,724,1,1,1024,2,double,2.58777,286.492,4.58387,0.286492
69,A100-SXM4-80GB,CUDA Explicit Memory,776,1,1,1024,2,double,2.71427,292.758,4.68412,0.292758
70,A100-SXM4-80GB,CUDA Explicit Memory,831,1,1,1024,2,double,2.56302,332.008,5.31213,0.332008
71,A100-SXM4-80GB,CUDA Explicit Memory,891,1,1,1024,2,double,2.55396,357.242,5.71588,0.357242
72,A100-SXM4-80GB,CUDA Explicit Memory,955,1,1,1024,2,double,2.63638,370.933,5.93493,0.370933
73,A100-SXM4-80GB,CUDA Explicit Memory,1024,1,1,1024,2,double,2.71192,386.655,6.18648,0.386655
74,A100-SXM4-80GB,CUDA Explicit Memory,1097,1,1,1024,2,double,2.57267,436.639,6.98622,0.436639
75,A100-SXM4-80GB,CUDA Explicit Memory,1176,1,1,1024,2,double,2.60752,461.828,7.38924,0.461828
76,A100-SXM4-80GB,CUDA Explicit Memory,1260,1,1,1024,2,double,2.60854,494.621,7.91394,0.494621
