,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride_read,stride_write,time,mlups,bandwidth,compute
0,A100-SXM4-80GB,CUDA Explicit Memory,2,1,1,1024,2,double,1,1,2.38478,0.858778,0.0137404,0.000858778
1,A100-SXM4-80GB,CUDA Explicit Memory,3,1,1,1024,2,double,1,1,2.27082,1.35282,0.0216451,0.00135282
2,A100-SXM4-80GB,CUDA Explicit Memory,4,1,1,1024,2,double,1,1,2.59835,1.57639,0.0252222,0.00157639
3,A100-SXM4-80GB,CUDA Explicit Memory,5,1,1,1024,2,double,1,1,2.39827,2.13487,0.0341579,0.00213487
4,A100-SXM4-80GB,CUDA Explicit Memory,6,1,1,1024,2,double,1,1,2.37214,2.59007,0.041441,0.00259007
5,A100-SXM4-80GB,CUDA Explicit Memory,7,1,1,1024,2,double,1,1,2.49337,2.87482,0.0459972,0.00287482
6,A100-SXM4-80GB,CUDA Explicit Memory,8,1,1,1024,2,double,1,1,2.5063,3.26857,0.0522971,0.00326857
7,A100-SXM4-80GB,CUDA Explicit Memory,9,1,1,1024,2,double,1,1,2.43012,3.79241,0.0606786,0.00379241
8,A100-SXM4-80GB,CUDA Explicit Memory,10,1,1,1024,2,double,1,1,2.45493,4.17119,0.0667391,0.00417119
9,A100-SXM4-80GB,CUDA Explicit Memory,11,1,1,1024,2,double,1,1,2.27269,4.95623,0.0792997,0.00495623
10,A100-SXM4-80GB,CUDA Explicit Memory,12,1,1,1024,2,double,1,1,2.47883,4.95719,0.079315,0.00495719
11,A100-SXM4-80GB,CUDA Explicit Memory,13,1,1,1024,2,double,1,1,2.34452,5.67792,0.0908468,0.00567792
12,A100-SXM4-80GB,CUDA Explicit Memory,14,1,1,1024,2,double,1,1,2.2803,6.28689,0.10059,0.00628689
13,A100-SXM4-80GB,CUDA Explicit Memory,16,1,1,1024,2,double,1,1,2.27308,7.20785,0.115326,0.00720785
14,A100-SXM4-80GB,CUDA Explicit Memory,17,1,1,1024,2,double,1,1,2.45852,7.08067,0.113291,0.00708067
15,A100-SXM4-80GB,CUDA Explicit Memory,18,1,1,1024,2,double,1,1,2.67126,6.90012,0.110402,0.00690012
16,A100-SXM4-80GB,CUDA Explicit Memory,19,1,1,1024,2,double,1,1,2.26925,8.57376,0.13718,0.00857376
17,A100-SXM4-80GB,CUDA Explicit Memory,21,1,1,1024,2,double,1,1,2.52179,8.52728,0.136436,0.00852728
18,A100-SXM4-80GB,CUDA Explicit Memory,22,1,1,1024,2,double,1,1,2.75382,8.18064,0.13089,0.00818064
