,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride_read,stride_write,time,mlups,bandwidth,compute
49,A40,CUDA Explicit Memory,194,1,1,1024,2,double,1,1,2.29764,86.461,1.38338,0.086461
50,A40,CUDA Explicit Memory,207,1,1,1024,2,double,1,1,2.29894,92.2025,1.47524,0.0922025
51,A40,CUDA Explicit Memory,222,1,1,1024,2,double,1,1,2.31638,98.1392,1.57023,0.0981392
52,A40,CUDA Explicit Memory,238,1,1,1024,2,double,1,1,2.28819,106.509,1.70414,0.106509
53,A40,CUDA Explicit Memory,256,1,1,1024,2,double,1,1,2.25246,116.381,1.8621,0.116381
54,A40,CUDA Explicit Memory,274,1,1,1024,2,double,1,1,2.27968,123.077,1.96923,0.123077
55,A40,CUDA Explicit Memory,294,1,1,1024,2,double,1,1,2.28772,131.597,2.10555,0.131597
56,A40,CUDA Explicit Memory,315,1,1,1024,2,double,1,1,2.28802,140.978,2.25564,0.140978
57,A40,CUDA Explicit Memory,337,1,1,1024,2,double,1,1,2.28046,151.324,2.42118,0.151324
58,A40,CUDA Explicit Memory,362,1,1,1024,2,double,1,1,2.28398,162.299,2.59678,0.162299
59,A40,CUDA Explicit Memory,388,1,1,1024,2,double,1,1,2.30335,172.493,2.75989,0.172493
60,A40,CUDA Explicit Memory,415,1,1,1024,2,double,1,1,2.3022,184.589,2.95342,0.184589
61,A40,CUDA Explicit Memory,445,1,1,1024,2,double,1,1,2.30942,197.314,3.15702,0.197314
62,A40,CUDA Explicit Memory,477,1,1,1024,2,double,1,1,2.29171,213.137,3.4102,0.213137
63,A40,CUDA Explicit Memory,512,1,1,1024,2,double,1,1,2.28514,229.433,3.67093,0.229433
64,A40,CUDA Explicit Memory,548,1,1,1024,2,double,1,1,2.30544,243.403,3.89445,0.243403
65,A40,CUDA Explicit Memory,588,1,1,1024,2,double,1,1,2.31014,260.639,4.17022,0.260639
66,A40,CUDA Explicit Memory,630,1,1,1024,2,double,1,1,2.28881,281.858,4.50973,0.281858
67,A40,CUDA Explicit Memory,675,1,1,1024,2,double,1,1,2.33149,296.463,4.7434,0.296463
